DÖNEM,DERS,DERS NO,BÖLÜM,GÜN,BAŞLANGIÇ SAATİ,BİTİŞ SAATİ,ODA KODU
201710,PE,105,A,Salı,15:40,17:30,
201710,ENTR,401,A,Cuma,09:40,12:30,CK.EF_AB1.233
201710,MATH,104,A,Çarşamba,10:40,12:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,IE,401,A,Çarşamba,18:40,21:30,CK.EF_AB1.238
201710,SEC,402,A,Cuma,09:40,12:30,CK.EF_AB1.238
201710,PHYS,102,B,Salı,10:40,12:30,CK.EF_AB1.238
201710,PHYS,102,A,Salı,12:40,14:30,CK.EF_AB1.238
201710,MATH,112,A,Perşembe,10:40,12:30,CK.EF_AB1.238
201710,MATH,112,A,Pazartesi,08:40,10:30,CK.EF_AB1.238
201710,MATH,104R,B,Perşembe,12:40,14:30,CK.EF_AB1.238
201710,MATH,104R,A,Perşembe,14:40,16:30,CK.EF_AB1.238
201710,MATH,104,B,Çarşamba,14:40,16:30,CK.EF_AB1.238
201710,MATH,104,B,Pazartesi,10:40,12:30,CK.EF_AB1.238
201710,MATH,104,A,Pazartesi,14:40,16:30,CK.EF_AB1.238
201710,HUK,424,A,Perşembe,16:40,18:30,CK.EF_AB1.238
201710,HUK,412,A,Çarşamba,12:40,14:30,CK.EF_AB1.238
201710,HUK,412,A,Pazartesi,12:40,14:30,CK.EF_AB1.238
201710,HUK,303,A,Salı,08:40,10:30,CK.EF_AB1.238
201710,EE,202,A,Salı,14:40,17:30,CK.EF_AB1.238
201710,PSY,105,A,Çarşamba,09:40,10:30,CK.EF_AB1.237
201710,PSY,105,A,Pazartesi,12:40,14:30,CK.EF_AB1.237
201710,ME,373,A,Çarşamba,12:40,14:30,CK.EF_AB1.237
201710,MATH,215R,A,Cuma,08:40,10:30,CK.EF_AB1.237
201710,MATH,215,A,Salı,09:40,12:30,CK.EF_AB1.237
201710,MATH,211,A,Perşembe,10:40,12:30,CK.EF_AB1.237
201710,MATH,211,A,Salı,16:40,18:30,CK.EF_AB1.237
201710,MATH,113,A,Çarşamba,14:40,16:30,CK.EF_AB1.237
201710,MATH,113,A,Pazartesi,10:40,12:30,CK.EF_AB1.237
201710,MATH,112,B,Cuma,14:40,16:30,CK.EF_AB1.237
201710,MATH,112,B,Perşembe,08:40,10:30,CK.EF_AB1.237
201710,MATH,103R,B,Perşembe,14:40,16:30,CK.EF_AB1.237
201710,MATH,103R,A,Perşembe,12:40,14:30,CK.EF_AB1.237
201710,MATH,103,B,Çarşamba,10:40,12:30,CK.EF_AB1.237
201710,MATH,103,B,Pazartesi,14:40,16:30,CK.EF_AB1.237
201710,MATH,103,A,Çarşamba,14:40,16:30,CK.EF_AB1.237
201710,MATH,103,A,Pazartesi,10:40,12:30,CK.EF_AB1.237
201710,EE,201,A,Cuma,16:40,18:30,CK.EF_AB1.237
201710,EE,201,A,Pazartesi,16:40,18:30,CK.EF_AB1.237
201710,CS,100,D,Salı,12:40,14:30,CK.EF_AB1.237
201710,CS,100,A,Salı,14:40,16:30,CK.EF_AB1.237
201710,MKTG,315,B,Pazartesi,12:40,15:30,CK.EF_AB1.233
201710,MGMT,401,A,Cuma,09:40,12:30,CK.EF_AB1.233
201710,ME,321,A,Çarşamba,08:40,09:30,CK.EF_AB1.233
201710,ME,321,A,Salı,08:40,11:30,CK.EF_AB1.233
201710,IE,391,B,Çarşamba,13:40,16:30,CK.EF_AB1.233
201710,IE,391,A,Çarşamba,10:40,13:30,CK.EF_AB1.233
201710,IE,320,A,Pazartesi,15:40,18:30,CK.EF_AB1.233
201710,FIN,202,A,Perşembe,08:40,09:30,CK.EF_AB1.233
201710,FIN,202,A,Salı,11:40,14:30,CK.EF_AB1.233
201710,ME,312,A,Çarşamba,14:40,17:30,CK.EF_AB1.232
201710,CS,445,A,Salı,15:40,18:30,CK.EF_AB1.233
201710,CS,434,A,Perşembe,15:40,18:30,CK.EF_AB1.233
201710,CS,101,B,Cuma,14:40,17:30,CK.EF_AB1.233
201710,CS,101,B,Perşembe,12:40,14:30,CK.EF_AB1.233
201710,ME,432,A,Salı,13:40,16:30,CK.EF_AB1.231
201710,GARM,114,A,Cuma,08:40,11:30,CK.EF_AB1.231
201710,IE,462,A,Pazartesi,10:40,13:30,CK.EF_AB1.231
201710,EE,303,A,Salı,15:40,18:30,CK.EF_AB1.407
201710,CS,454,A,Çarşamba,10:40,13:30,CK.EF_AB1.231
201710,CS,447,A,Perşembe,11:40,14:30,CK.EF_AB1.231
201710,CE,307,A,Cuma,14:40,16:30,CK.EF_AB1.231
201710,CE,307,A,Çarşamba,14:40,16:30,CK.EF_AB1.231
201710,MATH,211,D,Pazartesi,08:40,10:30,CK.EF_AB1.225
201710,SEC,302,A,Perşembe,13:40,15:30,CK.EF_AB1.225
201710,PSY,101,A,Perşembe,10:40,13:30,CK.EF_AB1.225
201710,MATH,216,A,Çarşamba,08:40,10:30,CK.EF_AB1.225
